"","original_reaction","reaction_ID","xml_equation","bigg_name"
"1024","PSPHPL: psph1p_c --> 2hhxdal_c + ethamp_c","PSPHPL"," psph1p_c --> 2hhxdal_c + ethamp_c","Phytosphingosine phosphate lyase"
"1025","PSPHS: h_c + nadph_c + o2_c + sphgn_c --> h2o_c + nadp_c + psphings_c","PSPHS"," h_c + nadph_c + o2_c + sphgn_c --> h2o_c + nadp_c + psphings_c","Phytosphingosine synthesis"
"1026","ASPt2n: asp_L_c + h_c <=> asp_L_n + h_n","ASPt2n"," asp_L_c + h_c <=> asp_L_n + h_n","Aspartate nuclear transport via proton symport"
"1027","PStg_SC: ps_SC_c <=> ps_SC_g","PStg_SC"," ps_SC_c <=> ps_SC_g","Phosphatidylserine Golgi transport  yeast specific"
"1028","PStm_SC: ps_SC_c <=> ps_SC_m","PStm_SC"," ps_SC_c <=> ps_SC_m","Phosphatidylserine mitochondrial  transport  yeast specific"
"1029","PStv_SC: ps_SC_c <=> ps_SC_v","PStv_SC"," ps_SC_c <=> ps_SC_v","Phosphatidylserine vacuolar transport  yeast specific"
"1030","PTD1INOtn_SC: ptd1ino_SC_c <=> ptd1ino_SC_n","PTD1INOtn_SC"," ptd1ino_SC_c <=> ptd1ino_SC_n","Phosphatidyl 1D myo insoitol nuclear transport  yeast specific"
"1031","PTD4INOtn_SC: ptd4ino_SC_c <=> ptd4ino_SC_n","PTD4INOtn_SC"," ptd4ino_SC_c <=> ptd4ino_SC_n","Phosphatidyl 1D myo 4 inositol nuclear transport  yeast specific"
"1032","PTPATi: atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c","PTPATi"," atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c","Pantetheine-phosphate adenylyltransferase"
"1033","PTPATim: atp_m + h_m + pan4p_m --> dpcoa_m + ppi_m","PTPATim"," atp_m + h_m + pan4p_m --> dpcoa_m + ppi_m","Panthetheine phosphate adenylyltransferase"
"1034","PTRCt2: h_e + ptrc_e --> h_c + ptrc_c","PTRCt2"," h_e + ptrc_e --> h_c + ptrc_c",NA
"1035","PUNP1: adn_c + pi_c <=> ade_c + r1p_c","PUNP1"," adn_c + pi_c <=> ade_c + r1p_c","Purine-nucleoside phosphorylase (Adenosine)"
"1036","PUNP1m: adn_m + pi_m <=> ade_m + r1p_m","PUNP1m"," adn_m + pi_m <=> ade_m + r1p_m","Purine nucleoside phosphorylase  Adenosine   mitochondrial"
"1037","PUNP2: dad_2_c + pi_c <=> 2dr1p_c + ade_c","PUNP2"," dad_2_c + pi_c <=> 2dr1p_c + ade_c","Purine-nucleoside phosphorylase (Deoxyadenosine)"
"1038","PUNP3: gsn_c + pi_c <=> gua_c + r1p_c","PUNP3"," gsn_c + pi_c <=> gua_c + r1p_c","Purine-nucleoside phosphorylase (Guanosine)"
"1039","PUNP3m: gsn_m + pi_m <=> gua_m + r1p_m","PUNP3m"," gsn_m + pi_m <=> gua_m + r1p_m","Purine nucleoside phosphorylase  Guanosine   mitochondrial"
"1040","PUNP4: dgsn_c + pi_c <=> 2dr1p_c + gua_c","PUNP4"," dgsn_c + pi_c <=> 2dr1p_c + gua_c","Purine-nucleoside phosphorylase (Deoxyguanosine)"
"1041","PUNP5: ins_c + pi_c <=> hxan_c + r1p_c","PUNP5"," ins_c + pi_c <=> hxan_c + r1p_c","Purine-nucleoside phosphorylase (Inosine)"
"1042","PUNP6: din_c + pi_c <=> 2dr1p_c + hxan_c","PUNP6"," din_c + pi_c <=> 2dr1p_c + hxan_c","Purine-nucleoside phosphorylase (Deoxyinosine)"
"1043","PUNP7: pi_c + xtsn_c <=> r1p_c + xan_c","PUNP7"," pi_c + xtsn_c <=> r1p_c + xan_c","Purine-nucleoside phosphorylase (Xanthosine)"
"1044","PYAM5PO: h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c","PYAM5PO"," h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c","Pyridoxamine 5'-phosphate oxidase"
"1045","PYDAMK: atp_c + pydam_c --> adp_c + h_c + pyam5p_c","PYDAMK"," atp_c + pydam_c --> adp_c + h_c + pyam5p_c","Pyridoxamine kinase"
"1046","PYDXK: atp_c + pydx_c --> adp_c + h_c + pydx5p_c","PYDXK"," atp_c + pydx_c --> adp_c + h_c + pydx5p_c","Pyridoxal kinase"
"1047","PYDXNK: atp_c + pydxn_c --> adp_c + h_c + pdx5p_c","PYDXNK"," atp_c + pydxn_c --> adp_c + h_c + pdx5p_c","Pyridoxine kinase"
"1048","PYDXNO: o2_c + pydxn_c <=> h2o2_c + pydx_c","PYDXNO"," o2_c + pydxn_c <=> h2o2_c + pydx_c","Pyridoxine oxidase"
"1049","PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c <=> 2.0 h2o2_c + pydam_c","PYDXO"," 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c <=> 2.0 h2o2_c + pydam_c","Pyridoxal oxidase"
"1050","CBPtn: cbp_c <=> cbp_n","CBPtn"," cbp_c <=> cbp_n","Carbamoyl phosphate nuclear transport via diffusion"
"1051","PYNP2r: pi_c + uri_c <=> r1p_c + ura_c","PYNP2r"," pi_c + uri_c <=> r1p_c + ura_c","Pyrimidine-nucleoside phosphorylase (uracil)"
"1052","PYR5CDm: glu5sa_m + h2o_m + nadp_m --> glu_L_m + 2.0 h_m + nadph_m","PYR5CDm"," glu5sa_m + h2o_m + nadp_m --> glu_L_m + 2.0 h_m + nadph_m","D1 pyrroline 5 carboxylate dehydrogenase  mitochondrial"
"1053","PYRDC: h_c + pyr_c --> acald_c + co2_c","PYRDC"," h_c + pyr_c --> acald_c + co2_c","Pyruvate decarboxylase"
"1054","PYRt2: h_e + pyr_e --> h_c + pyr_c","PYRt2"," h_e + pyr_e --> h_c + pyr_c","Pyruvate transport in via proton symport"
"1055","DHORtn: dhor_S_c <=> dhor_S_n","DHORtn"," dhor_S_c <=> dhor_S_n",NA
"1056","PYRt2p: h_c + pyr_c <=> h_x + pyr_x","PYRt2p"," h_c + pyr_c <=> h_x + pyr_x","Pyruvate peroxisomal transport via proton symport"
"1057","QULNtm: quln_c <=> quln_m","QULNtm"," quln_c <=> quln_m","Quinolinate reversible mitochondrial transport"
"1058","RBFK: atp_c + ribflv_c --> adp_c + fmn_c + h_c","RBFK"," atp_c + ribflv_c --> adp_c + fmn_c + h_c","Riboflavin kinase"
"1059","RBFKm: atp_m + ribflv_m --> adp_m + fmn_m + h_m","RBFKm"," atp_m + ribflv_m --> adp_m + fmn_m + h_m","Riboflavin kinase  mitochondrial"
"1060","RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c","RBFSa"," 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c","Riboflavin synthase"
"1061","RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c","RBFSb"," 2.0 dmlz_c --> 4r5au_c + ribflv_c","Riboflavin synthase"
"1062","RBK: atp_c + rib_D_c --> adp_c + h_c + r5p_c","RBK"," atp_c + rib_D_c --> adp_c + h_c + r5p_c","Ribokinase"
"1063","RIBFLVt2: h_e + ribflv_e --> h_c + ribflv_c","RIBFLVt2"," h_e + ribflv_e --> h_c + ribflv_c","Riboflavin transport in via proton symport"
"1064","RIBFLVtm: ribflv_c <=> ribflv_m","RIBFLVtm"," ribflv_c <=> ribflv_m","Riboflavin reversible mitochondrial transport"
"1065","RIBt2: h_e + rib_D_e --> h_c + rib_D_c","RIBt2"," h_e + rib_D_e --> h_c + rib_D_c","Ribose transport in via proton symporter"
"1066","H2Otn: h2o_n <=> h2o_c","H2Otn"," h2o_n <=> h2o_c","H2O transport  nuclear"
"1067","RNDR1n: adp_n + trdrd_n --> dadp_n + h2o_n + trdox_n","RNDR1n"," adp_n + trdrd_n --> dadp_n + h2o_n + trdox_n","Ribonucleoside diphosphate reductase  nuclear"
"1068","RNDR2: gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c","RNDR2"," gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c","Ribonucleoside-diphosphate reductase (GDP)"
"1069","RNDR2n: gdp_n + trdrd_n --> dgdp_n + h2o_n + trdox_n","RNDR2n"," gdp_n + trdrd_n --> dgdp_n + h2o_n + trdox_n","Ribonucleoside diphosphate reductase  GDP   nuclear"
"1070","RNDR3: cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c","RNDR3"," cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c","Ribonucleoside-diphosphate reductase (CDP)"
"1071","RNDR3n: cdp_n + trdrd_n --> dcdp_n + h2o_n + trdox_n","RNDR3n"," cdp_n + trdrd_n --> dcdp_n + h2o_n + trdox_n","Ribonucleoside diphosphate reductase  CDP   nuclear"
"1072","RNDR4: trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c","RNDR4"," trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c","Ribonucleoside-diphosphate reductase (UDP)"
"1073","RNDR4n: trdrd_n + udp_n --> dudp_n + h2o_n + trdox_n","RNDR4n"," trdrd_n + udp_n --> dudp_n + h2o_n + trdox_n","Ribonucleoside diphosphate reductase  UDP   nuclear"
"1074","RNTR1: atp_c + trdrd_c --> datp_c + h2o_c + trdox_c","RNTR1"," atp_c + trdrd_c --> datp_c + h2o_c + trdox_c","Ribonucleoside triphosphate reductase  ATP "
"1075","RNTR2: gtp_c + trdrd_c --> dgtp_c + h2o_c + trdox_c","RNTR2"," gtp_c + trdrd_c --> dgtp_c + h2o_c + trdox_c","Ribonucleoside triphosphate reductase  GTP "
"1076","RNTR3: ctp_c + trdrd_c --> dctp_c + h2o_c + trdox_c","RNTR3"," ctp_c + trdrd_c --> dctp_c + h2o_c + trdox_c","Ribonucleoside triphosphate reductase  CTP "
"1077","PIt2n: h_c + pi_c <=> h_n + pi_n","PIt2n"," h_c + pi_c <=> h_n + pi_n","Phosphate nuclear transport via proton symport"
"1078","ANPRT: anth_c + prpp_c --> ppi_c + pran_c","ANPRT"," anth_c + prpp_c --> ppi_c + pran_c","Anthranilate phosphoribosyltransferase"
"1079","CHORM: chor_c --> pphn_c","CHORM"," chor_c --> pphn_c","Chorismate mutase"
"1080","CHORS: 3psme_c --> chor_c + pi_c","CHORS"," 3psme_c --> chor_c + pi_c","Chorismate synthase"
"1081","DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c","DDPA"," e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c","3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase"
"1082","SADT: atp_c + h_c + so4_c --> aps_c + ppi_c","SADT"," atp_c + h_c + so4_c --> aps_c + ppi_c","Sulfate adenylyltransferase"
"1083","SAM24MT: amet_c + zymst_c --> ahcys_c + fecost_c + h_c","SAM24MT"," amet_c + zymst_c --> ahcys_c + fecost_c + h_c","S adenosyl methionine delta 24 sterol c methyltransferase"
"1084","SBPP1: h2o_c + sph1p_c --> pi_c + sphgn_c","SBPP1"," h2o_c + sph1p_c --> pi_c + sphgn_c",NA
"1085","SBPP2: h2o_c + psph1p_c --> pi_c + psphings_c","SBPP2"," h2o_c + psph1p_c --> pi_c + psphings_c",NA
"1086","DHQS: 2dda7p_c --> 3dhq_c + pi_c","DHQS"," 2dda7p_c --> 3dhq_c + pi_c","3-dehydroquinate synthase"
"1087","SBTD_L: nad_c + sbt_L_c --> h_c + nadh_c + srb_L_c","SBTD_L"," nad_c + sbt_L_c --> h_c + nadh_c + srb_L_c","L sorbitol dehydrogenase  L sorbose producing "
"1088","DHQTi: 3dhq_c --> 3dhsk_c + h2o_c","DHQTi"," 3dhq_c --> 3dhsk_c + h2o_c","3-dehydroquinate dehydratase, irreversible"
"1089","SBT_Dt: sbt_D_e <=> sbt_D_c","SBT_Dt"," sbt_D_e <=> sbt_D_c","D sorbitol transport via passive diffusion"
"1090","SBT_Lt: sbt_L_e <=> sbt_L_c","SBT_Lt"," sbt_L_e <=> sbt_L_c","L sorbitol transport via passive diffusion"
"1091","IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c","IGPS"," 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c","Indole-3-glycerol-phosphate synthase"
"1092","SERD_L: ser_L_c --> nh4_c + pyr_c","SERD_L"," ser_L_c --> nh4_c + pyr_c","L-serine deaminase"
"1093","SERPT: h_c + pmtcoa_c + ser_L_c --> 3dsphgn_c + co2_c + coa_c","SERPT"," h_c + pmtcoa_c + ser_L_c --> 3dsphgn_c + co2_c + coa_c","Serine C palmitoyltransferase"
"1094","SERTRS: atp_c + ser_L_c + trnaser_c --> amp_c + ppi_c + sertrna_c","SERTRS"," atp_c + ser_L_c + trnaser_c --> amp_c + ppi_c + sertrna_c","Seryl-tRNA synthetase"
"1095","SERt2m: h_c + ser_L_c <=> h_m + ser_L_m","SERt2m"," h_c + ser_L_c <=> h_m + ser_L_m","Serine mitochondrial transport via proton symport"
"1096","SERt2r: h_e + ser_L_e <=> h_c + ser_L_c","SERt2r"," h_e + ser_L_e <=> h_c + ser_L_c","L serine reversible transport via proton symport"
"1097","SFGTH: Sfglutth_c + h2o_c <=> for_c + gthrd_c + h_c","SFGTH"," Sfglutth_c + h2o_c <=> for_c + gthrd_c + h_c",NA
"1098","PHETA1: akg_c + phe_L_c <=> glu_L_c + phpyr_c","PHETA1"," akg_c + phe_L_c <=> glu_L_c + phpyr_c","Phenylalanine transaminase"
"1099","PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c","PPND2"," nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c","Prephenate dehydrogenase  NADP "
"1100","SHSL1: cys_L_c + suchms_c --> cyst_L_c + h_c + succ_c","SHSL1"," cys_L_c + suchms_c --> cyst_L_c + h_c + succ_c","O-succinylhomoserine lyase (L-cysteine)"
"1101","SHSL4r: h2o_c + suchms_c <=> 2obut_c + h_c + nh4_c + succ_c","SHSL4r"," h2o_c + suchms_c <=> 2obut_c + h_c + nh4_c + succ_c","O succinylhomoserine lyase  elimination   reversible"
"1102","SLCBK1: atp_c + sphgn_c --> adp_c + h_c + sph1p_c","SLCBK1"," atp_c + sphgn_c --> adp_c + h_c + sph1p_c","Sphingolipid long chain base kinase  sphinganine "
"1103","SLCBK2: atp_c + psphings_c --> adp_c + h_c + psph1p_c","SLCBK2"," atp_c + psphings_c --> adp_c + h_c + psph1p_c","Sphingolipid long chain base kinase  phytosphingosine "
"1104","PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c","PPNDH"," h_c + pphn_c --> co2_c + h2o_c + phpyr_c","Prephenate dehydratase"
"1105","PRAIi: pran_c --> 2cpr5p_c","PRAIi"," pran_c --> 2cpr5p_c","Phosphoribosylanthranilate isomerase (irreversible)"
"1106","SPMDAT1: accoa_c + spmd_c --> N1aspmd_c + coa_c + h_c","SPMDAT1"," accoa_c + spmd_c --> N1aspmd_c + coa_c + h_c","Spermidine acetyltransferase"
"1107","SPMDt2: h_e + spmd_e --> h_c + spmd_c","SPMDt2"," h_e + spmd_e --> h_c + spmd_c",NA
"1108","SPMS: ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c","SPMS"," ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c","Spermidine synthase"
"1109","SPRMS: ametam_c + spmd_c --> 5mta_c + h_c + sprm_c","SPRMS"," ametam_c + spmd_c --> 5mta_c + h_c + sprm_c","Spermine synthase"
"1110","SPRMti: sprm_e --> sprm_c","SPRMti"," sprm_e --> sprm_c",NA
"1111","PSCVTi: pep_c + skm5p_c --> 3psme_c + pi_c","PSCVTi"," pep_c + skm5p_c --> 3psme_c + pi_c",NA
"1112","SHK3D: 3dhsk_c + h_c + nadph_c --> nadp_c + skm_c","SHK3D"," 3dhsk_c + h_c + nadph_c --> nadp_c + skm_c",NA
"1113","SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c","SHKK"," atp_c + skm_c --> adp_c + h_c + skm5p_c","Shikimate kinase"
"1114","TRPS1: 3ig3p_c + ser_L_c --> g3p_c + h2o_c + trp_L_c","TRPS1"," 3ig3p_c + ser_L_c --> g3p_c + h2o_c + trp_L_c","Tryptophan synthase (indoleglycerol phosphate)"
"1115","SRB_Lt: srb_L_e <=> srb_L_c","SRB_Lt"," srb_L_e <=> srb_L_c","L sorbose reversible transport"
"1116","SSALy: h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c","SSALy"," h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c","Succinate-semialdehyde dehydrogenase (NADP)"
"1117","SUCCt2r: h_e + succ_e <=> h_c + succ_c","SUCCt2r"," h_e + succ_e <=> h_c + succ_c","Succinate transport via proton symport"
"1118","SUCCtm: pi_m + succ_c --> pi_c + succ_m","SUCCtm"," pi_m + succ_c --> pi_c + succ_m","Succinate transport  mitochondrial"
"1119","SUCD1m: fad_m + succ_m --> fadh2_m + fum_m","SUCD1m"," fad_m + succ_m --> fadh2_m + fum_m","Succinate dehydrogenase"
"1120","SUCD2_u6m: q6_m + succ_m --> fum_m + q6h2_m","SUCD2_u6m"," q6_m + succ_m --> fum_m + q6h2_m","Succinate dehydrogenase  ubiquinone 6   mitochondrial"
"1121","SUCD3_u6m: fadh2_m + q6_m <=> fad_m + q6h2_m","SUCD3_u6m"," fadh2_m + q6_m <=> fad_m + q6h2_m","Succinate dehydrogenase  ubiquinone 6   mitochondrial"
"1122","SUCFUMtm: fum_m + succ_c --> fum_c + succ_m","SUCFUMtm"," fum_m + succ_c --> fum_c + succ_m","Succinate fumarate transport  mitochondrial"
"1123","SUCOASm: atp_m + coa_m + succ_m <=> adp_m + pi_m + succoa_m","SUCOASm"," atp_m + coa_m + succ_m <=> adp_m + pi_m + succoa_m","Succinate  CoA ligase  ADP forming "
"1124","ACHBSm: 2obut_m + h_m + pyr_m --> 2ahbut_m + co2_m","ACHBSm"," 2obut_m + h_m + pyr_m --> 2ahbut_m + co2_m","2 aceto 2 hydroxybutanoate synthase  mitochondrial"
"1125","TALA: g3p_c + s7p_c <=> e4p_c + f6p_c","TALA"," g3p_c + s7p_c <=> e4p_c + f6p_c","Transaldolase"
"1126","THFATm: h2o_m + methf_m --> 5fthf_m + h_m","THFATm"," h2o_m + methf_m --> 5fthf_m + h_m","Tetrahydrofolate aminomethyltransferase  mitochondrial"
"1127","THFGLUS: atp_c + glu_L_c + thf_c <=> adp_c + h_c + pi_c + thfglu_c","THFGLUS"," atp_c + glu_L_c + thf_c <=> adp_c + h_c + pi_c + thfglu_c","TetrahydrofolateL glutamate gamma ligase  ADP forming "
"1128","THFtm: thf_c <=> thf_m","THFtm"," thf_c <=> thf_m",NA
"1129","THMDPe: 2.0 h2o_e + thmpp_e --> h_e + 2.0 pi_e + thm_e","THMDPe"," 2.0 h2o_e + thmpp_e --> h_e + 2.0 pi_e + thm_e","Thiamin diphosphatase  extracellular"
"1130","THMDt2: h_e + thymd_e --> h_c + thymd_c","THMDt2"," h_e + thymd_e --> h_c + thymd_c","Thymidine transport in via proton symport"
"1131","THMP: h2o_c + thmmp_c --> pi_c + thm_c","THMP"," h2o_c + thmmp_c --> pi_c + thm_c","Thiamin phosphatase"
"1132","THMPe: h2o_e + thmmp_e --> pi_e + thm_e","THMPe"," h2o_e + thmmp_e --> pi_e + thm_e","Thiamin phosphatase  extracellular"
"1133","THMt2: h_e + thm_e --> h_c + thm_c","THMt2"," h_e + thm_e --> h_c + thm_c","Thiamine transport in via proton symport"
"1134","THRA: thr_L_c --> acald_c + gly_c","THRA"," thr_L_c --> acald_c + gly_c","Threonine aldolase"
"1135","THRD_L: thr_L_c --> 2obut_c + nh4_c","THRD_L"," thr_L_c --> 2obut_c + nh4_c","L-threonine deaminase"
"1136","ACLSm: h_m + 2.0 pyr_m --> alac_S_m + co2_m","ACLSm"," h_m + 2.0 pyr_m --> alac_S_m + co2_m","Acetolactate synthase  mitochondrial"
"1137","THRS: h2o_c + phom_c --> pi_c + thr_L_c","THRS"," h2o_c + phom_c --> pi_c + thr_L_c","Threonine synthase"
"1138","THRTRS: atp_c + thr_L_c + trnathr_c --> amp_c + ppi_c + thrtrna_c","THRTRS"," atp_c + thr_L_c + trnathr_c --> amp_c + ppi_c + thrtrna_c","Threonyl-tRNA synthetase"
"1139","THRTRSm: atp_m + thr_L_m + trnathr_m --> amp_m + ppi_m + thrtrna_m","THRTRSm"," atp_m + thr_L_m + trnathr_m --> amp_m + ppi_m + thrtrna_m","Threonyl tRNA synthetase  mitochondrial"
"1140","DHAD1m: 23dhmb_m --> 3mob_m + h2o_m","DHAD1m"," 23dhmb_m --> 3mob_m + h2o_m","Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylbutanoate   mitochondrial"
"1141","THRt2r: h_e + thr_L_e <=> h_c + thr_L_c","THRt2r"," h_e + thr_L_e <=> h_c + thr_L_c","L threonine reversible transport via proton symport"
"1142","THYMt3r: h_e + thym_c <=> h_c + thym_e","THYMt3r"," h_e + thym_c <=> h_c + thym_e","Thymine reversible transport via proton antiport"
"1143","THZPSN1_SC: achms_c + cys_L_c + gly_c + h_c + xu5p_D_c --> 4abut_c + 4mpetz_c + ac_c + co2_c + 3.0 h2o_c + nh4_c + pyr_c","THZPSN1_SC"," achms_c + cys_L_c + gly_c + h_c + xu5p_D_c --> 4abut_c + 4mpetz_c + ac_c + co2_c + 3.0 h2o_c + nh4_c + pyr_c","Thiazole phosphate synthesis  xylulose 5 phosphate   yeast specific"
"1144","THZPSN2_SC: achms_c + cys_L_c + gly_c + h_c + r5p_c --> 4abut_c + 4mpetz_c + ac_c + co2_c + 3.0 h2o_c + nh4_c + pyr_c","THZPSN2_SC"," achms_c + cys_L_c + gly_c + h_c + r5p_c --> 4abut_c + 4mpetz_c + ac_c + co2_c + 3.0 h2o_c + nh4_c + pyr_c","Thiazole phosphate synthesis  ribose 5 phosphate   yeast specifc"
"1145","TKT1: r5p_c + xu5p_D_c <=> g3p_c + s7p_c","TKT1"," r5p_c + xu5p_D_c <=> g3p_c + s7p_c","Transketolase"
"1146","DHAD2m: 23dhmp_m --> 3mop_m + h2o_m","DHAD2m"," 23dhmp_m --> 3mop_m + h2o_m","Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylpentanoate   mitochondrial"
"1147","TMDK1: atp_c + thymd_c --> adp_c + dtmp_c + h_c","TMDK1"," atp_c + thymd_c --> adp_c + dtmp_c + h_c","Thymidine kinase (ATP:thymidine)"
"1148","TMDPK: atp_c + thm_c --> amp_c + h_c + thmpp_c","TMDPK"," atp_c + thm_c --> amp_c + h_c + thmpp_c","Thiamine diphosphokinase"
"1149","TMDPP: pi_c + thymd_c <=> 2dr1p_c + thym_c","TMDPP"," pi_c + thymd_c <=> 2dr1p_c + thym_c","Thymidine phosphorylase"
"1150","TMDPPK: atp_c + thmpp_c --> adp_c + thmtp_c","TMDPPK"," atp_c + thmpp_c --> adp_c + thmtp_c","Thiamine diphosphate kinase"
"1151","ILETA: akg_c + ile_L_c <=> 3mop_c + glu_L_c","ILETA"," akg_c + ile_L_c <=> 3mop_c + glu_L_c","Isoleucine transaminase"
"1152","TMN: h2o_c + thm_c --> 4ahmmp_c + 4mhetz_c + h_c","TMN"," h2o_c + thm_c --> 4ahmmp_c + 4mhetz_c + h_c","Thiaminase"
"1153","TMPKr: atp_c + thmmp_c <=> adp_c + thmpp_c","TMPKr"," atp_c + thmmp_c <=> adp_c + thmpp_c",NA
"1154","TMPPP: 2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c","TMPPP"," 2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c","Thiamine-phosphate diphosphorylase"
"1155","IPMD: 3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c","IPMD"," 3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c","3-isopropylmalate dehydrogenase"
"1156","TRDR: h_c + nadph_c + trdox_c --> nadp_c + trdrd_c","TRDR"," h_c + nadph_c + trdox_c --> nadp_c + trdrd_c","Thioredoxin reductase (NADPH)"
"1157","TRDRm: h_m + nadph_m + trdox_m --> nadp_m + trdrd_m","TRDRm"," h_m + nadph_m + trdox_m --> nadp_m + trdrd_m","Thioredoxin reductase  NADPH "
"1158","IPPMIa: 3c2hmp_c <=> 2ippm_c + h2o_c","IPPMIa"," 3c2hmp_c <=> 2ippm_c + h2o_c","3-isopropylmalate dehydratase"
"1159","IPPMIb: 2ippm_c + h2o_c <=> 3c3hmp_c","IPPMIb"," 2ippm_c + h2o_c <=> 3c3hmp_c","2-isopropylmalate hydratase"
"1160","TREH: h2o_c + tre_c --> 2.0 glc_D_c","TREH"," h2o_c + tre_c --> 2.0 glc_D_c","Alpha,alpha-trehalase"
"1161","TREHv: h2o_v + tre_v --> 2.0 glc_D_v","TREHv"," h2o_v + tre_v --> 2.0 glc_D_v","Alpha alpha trehalase  vacuolar "
"1162","TREt2: h_e + tre_e --> h_c + tre_c","TREt2"," h_e + tre_e --> h_c + tre_c","Trehalose transport in via proton symporter"
"1163","TREt2v: h_c + tre_c <=> h_v + tre_v","TREt2v"," h_c + tre_c <=> h_v + tre_v","Trehalose vacuolar transport via proton symport"
"1164","TRPO2: o2_c + trp_L_c --> Lfmkynr_c","TRPO2"," o2_c + trp_L_c --> Lfmkynr_c","L Tryptophanoxygen 2 3 oxidoreductase  decyclizing "
"1165","IPPSm: 3mob_m + accoa_m + h2o_m --> 3c3hmp_m + coa_m + h_m","IPPSm"," 3mob_m + accoa_m + h2o_m --> 3c3hmp_m + coa_m + h_m","2 isopropylmalate synthase  mitochondrial"
"1166","TRPTRS: atp_c + trnatrp_c + trp_L_c --> amp_c + ppi_c + trptrna_c","TRPTRS"," atp_c + trnatrp_c + trp_L_c --> amp_c + ppi_c + trptrna_c","Tryptophanyl-tRNA synthetase"
"1167","TRPTRSm: atp_m + trnatrp_m + trp_L_m --> amp_m + ppi_m + trptrna_m","TRPTRSm"," atp_m + trnatrp_m + trp_L_m --> amp_m + ppi_m + trptrna_m","Tryptophanyl tRNA synthetase  mitochondrial"
"1168","TRPt2m: h_c + trp_L_c <=> h_m + trp_L_m","TRPt2m"," h_c + trp_L_c <=> h_m + trp_L_m","Tryptophan mitochondrial transport via proton symport"
"1169","TRPt2r: h_e + trp_L_e <=> h_c + trp_L_c","TRPt2r"," h_e + trp_L_e <=> h_c + trp_L_c","L tryptophan reversible transport via proton symport"
"1170","TTDCAt: ttdca_e --> ttdca_c","TTDCAt"," ttdca_e --> ttdca_c",NA
"1171","TYRTA: akg_c + tyr_L_c <=> 34hpp_c + glu_L_c","TYRTA"," akg_c + tyr_L_c <=> 34hpp_c + glu_L_c",NA
"1172","TYRTAi: 34hpp_c + glu_L_c --> akg_c + tyr_L_c","TYRTAi"," 34hpp_c + glu_L_c --> akg_c + tyr_L_c","Tyrosine transaminase  irreversible"
"1173","TYRTAm: akg_m + tyr_L_m <=> 34hpp_m + glu_L_m","TYRTAm"," akg_m + tyr_L_m <=> 34hpp_m + glu_L_m",NA
"1174","TYRTAp: akg_x + tyr_L_x <=> 34hpp_x + glu_L_x","TYRTAp"," akg_x + tyr_L_x <=> 34hpp_x + glu_L_x",NA
"1175","TYRTRS: atp_c + trnatyr_c + tyr_L_c --> amp_c + ppi_c + tyrtrna_c","TYRTRS"," atp_c + trnatyr_c + tyr_L_c --> amp_c + ppi_c + tyrtrna_c","Tyrosyl-tRNA synthetase"
"1176","TYRTRSm: atp_m + trnatyr_m + tyr_L_m --> amp_m + ppi_m + tyrtrna_m","TYRTRSm"," atp_m + trnatyr_m + tyr_L_m --> amp_m + ppi_m + tyrtrna_m","Tyrosyl tRNA synthetase  mitochondrial"
